illuminance,smoke,size,distance,firm,power,band,quality,speed,hazard
111,17.478116686292537,13.555851400266487,15.88180728940163,Yes,43,21.79209193616969,136.9620651261866,23,1
158,11.953892237392283,9.12959531282453,41.93377459859201,Yes,67,45.06716454820082,67.62802493929853,22,1
102,10.390822539823734,9.504866616683787,29.604364795634886,Yes,28,17.432505633802855,118.46826289793415,49,1
110,16.43861448346035,8.267730095262337,13.849037083214863,No,29,41.34684326922965,28.696920574254477,53,0
198,13.964578262868255,11.02882436064361,31.688413668181347,Yes,56,37.51793720809489,60.71684143677146,46,1
190,15.352364401959754,6.426514810651263,11.623970147899833,No,61,16.65327968781053,123.85199491405704,54,1
144,24.74444651816248,9.957171172481237,42.33305985130475,No,65,39.99669488311703,28.57408437280874,57,1
191,18.96210191870043,4.164597642514169,18.799077512574627,Yes,76,45.63841906918803,138.1428443804754,47,1
116,17.971397855784154,1.827949377053158,19.322865619677554,Yes,64,32.426412458065066,3.0628766128080467,44,1
116,8.602660396316105,5.958623462610795,8.100679263099584,Yes,40,28.297459098683312,59.357859044007235,55,1
106,28.725117408053745,8.76570860430579,18.615676795915718,No,70,32.05773317997491,20.111573452938305,36,1
169,14.235368201256213,12.44424295019649,17.44906014717033,Yes,39,18.429010761256386,19.52224899291817,27,1
115,29.787764379020228,3.85012642306037,13.255991521502871,No,21,24.016890261706983,16.465917722592174,23,0
176,16.50572553175005,5.075650396528637,33.02995715780465,Yes,66,38.95614756370276,97.54267143701982,41,1
164,19.2207950668363,4.94583187186347,11.306121660994906,No,75,28.57018186385808,88.10030973586852,25,0
124,11.656351814377313,10.59579385065509,17.719745275527558,Yes,25,42.93811237804545,84.97022688620775,47,1
148,11.192238695144638,10.79985114678468,36.89498474405393,No,23,45.249378733735924,58.77128626721589,19,0
160,11.543816805603209,11.833785002000749,22.66054824562778,Yes,44,33.0296299269545,88.59341799562549,43,1
217,17.05515105878916,14.813525846719271,28.33388697965863,No,25,44.23941103067158,8.840856544238848,33,0
142,3.820480419636101,10.005347542400848,32.29529966895541,Yes,40,44.362500486778586,86.7190068912406,18,0
199,11.602719273450225,9.951431267023414,12.504050207581267,Yes,63,19.933720929145686,27.275118673925455,45,1
176,26.89843234677619,2.8713945185583714,42.39673980370235,Yes,24,39.0921753483829,2.04115636586745,34,0
166,12.573759828107432,12.91470701498184,29.874311588716154,Yes,42,36.02254003048874,18.818089132593478,58,1
139,11.08223335918682,14.69794291461862,32.68828810742853,No,24,33.09847239886398,143.94702700492667,46,0
127,24.205727521461696,7.6016696024046695,19.743038422422238,No,24,18.983550932071388,146.8526418803923,33,0
188,30.272934463256153,6.678693468367197,10.830555556992628,Yes,31,35.711274568596124,33.225447669449245,52,1
185,21.499417229376437,15.053712728034913,16.640573906959546,No,74,25.470316358123952,89.53312820707724,55,1
210,8.5367057127209,10.978418020998898,27.2259069837867,No,68,35.85563014033793,59.41248624647975,62,1
162,29.28531230435765,6.412708173781715,8.147515777033748,No,32,22.529553284134685,2.8816112028889753,43,1
152,20.610942234032112,13.039813137773757,12.409257583997718,No,56,24.875309104867526,132.15195210344993,34,1
169,3.4387464931433223,14.140488070621887,9.420536434906566,Yes,33,30.44796762707341,12.548532780921645,21,0
